medicineOfficialName,urlKusurinoShiori
0.025w/v%ヂアミトール水,https://www.rad-ar.or.jp/siori/search/result?n=9544
0.02w/v%マスキン水,https://www.rad-ar.or.jp/siori/search/result?n=9572
0.02%ヘキザック水W,https://www.rad-ar.or.jp/siori/search/result?n=5113
0.05w/v%ヂアミトール水,https://www.rad-ar.or.jp/siori/search/result?n=9545
0.05w/v%マスキン水,https://www.rad-ar.or.jp/siori/search/result?n=9569
0.05%ヘキザック水R,https://www.rad-ar.or.jp/siori/search/result?n=5114
0.05%ヘキザック水W,https://www.rad-ar.or.jp/siori/search/result?n=5115
0.1w/v%ヂアミトール水,https://www.rad-ar.or.jp/siori/search/result?n=9546
0.1w/v%マスキン水,https://www.rad-ar.or.jp/siori/search/result?n=9570
0.1%ヘキザック水W,https://www.rad-ar.or.jp/siori/search/result?n=5117
0.5w/v%マスキン水,https://www.rad-ar.or.jp/siori/search/result?n=9571
0.5%ヘキザックアルコール液,https://www.rad-ar.or.jp/siori/search/result?n=5119
0.5%ヘキザックアルコール液N,https://www.rad-ar.or.jp/siori/search/result?n=5118
0.5%ヘキザック水R,https://www.rad-ar.or.jp/siori/search/result?n=5120
0.5%ヘキザック水W,https://www.rad-ar.or.jp/siori/search/result?n=5121
10％サリチル酸ワセリン軟膏　東豊,https://www.rad-ar.or.jp/siori/search/result?n=40645
10mgコントール錠,https://www.rad-ar.or.jp/siori/search/result?n=43330
10mgセルシン錠,https://www.rad-ar.or.jp/siori/search/result?n=43333
20W/V%マスキン液,https://www.rad-ar.or.jp/siori/search/result?n=9573
20%ブドウ糖注「日医工」,https://www.rad-ar.or.jp/siori/search/result?n=39773
25mcgチロナミン錠,https://www.rad-ar.or.jp/siori/search/result?n=10534
25mgアリナミンF糖衣錠,https://www.rad-ar.or.jp/siori/search/result?n=43314
2mgセルシン錠,https://www.rad-ar.or.jp/siori/search/result?n=43334
5-FU注1000mg,https://www.rad-ar.or.jp/siori/search/result?n=34808
5-FU注250mg,https://www.rad-ar.or.jp/siori/search/result?n=37153
5-FU軟膏5%協和,https://www.rad-ar.or.jp/siori/search/result?n=34797
50％イソプロピルアルコール,https://www.rad-ar.or.jp/siori/search/result?n=5865
50mgアリナミンF糖衣錠,https://www.rad-ar.or.jp/siori/search/result?n=43315
5mcgチロナミン錠,https://www.rad-ar.or.jp/siori/search/result?n=10454
5％サリチル酸ワセリン軟膏　東豊,https://www.rad-ar.or.jp/siori/search/result?n=40642
5%ヘキザック液,https://www.rad-ar.or.jp/siori/search/result?n=5122
5mgアリナミンF糖衣錠,https://www.rad-ar.or.jp/siori/search/result?n=43316
5mgコントール錠,https://www.rad-ar.or.jp/siori/search/result?n=43329
5mgセルシン錠,https://www.rad-ar.or.jp/siori/search/result?n=43335
70％イソプロピルアルコール,https://www.rad-ar.or.jp/siori/search/result?n=9352
ATP腸溶錠20mg「AFP」,https://www.rad-ar.or.jp/siori/search/result?n=45833
ESポリタミン配合顆粒,https://www.rad-ar.or.jp/siori/search/result?n=34839
FAD錠「15」タツミ,https://www.rad-ar.or.jp/siori/search/result?n=12277
HCGモチダ注射用1万単位［生殖補助医療における卵胞成熟および黄体化、一般不妊治療（体内での受精を目的とした不妊治療）における排卵誘発および黄体化］,https://www.rad-ar.or.jp/siori/search/result?n=50568
HCGモチダ注射用5千単位［生殖補助医療における卵胞成熟および黄体化、一般不妊治療（体内での受精を目的とした不妊治療）における排卵誘発および黄体化］,https://www.rad-ar.or.jp/siori/search/result?n=50561
HMG注射用150IU「フェリング」［間脳性（視床下部性）無月経・下垂体性無月経の排卵誘発］,https://www.rad-ar.or.jp/siori/search/result?n=50777
HMG注射用150IU「フェリング」［生殖補助医療における調節卵巣刺激］,https://www.rad-ar.or.jp/siori/search/result?n=50782
HMG注射用75IU「フェリング」［間脳性（視床下部性）無月経・下垂体性無月経の排卵誘発］,https://www.rad-ar.or.jp/siori/search/result?n=50773
HMG注射用75IU「フェリング」［生殖補助医療における調節卵巣刺激］,https://www.rad-ar.or.jp/siori/search/result?n=50778
JPS越婢加朮湯エキス顆粒〔調剤用〕,https://www.rad-ar.or.jp/siori/search/result?n=15392
JPS五苓散料エキス顆粒〔調剤用〕,https://www.rad-ar.or.jp/siori/search/result?n=15102
JPS真武湯エキス顆粒〔調剤用〕,https://www.rad-ar.or.jp/siori/search/result?n=15410
JPS麦門冬湯エキス顆粒〔調剤用〕,https://www.rad-ar.or.jp/siori/search/result?n=15411
KCL補正液キット20mEq,https://www.rad-ar.or.jp/siori/search/result?n=46762
L-アスパラギン酸Ca錠200mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=18856
L-アスパラギン酸Ca錠200mg「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=36666
L-ケフラール顆粒,https://www.rad-ar.or.jp/siori/search/result?n=43409
L-ケフレックス顆粒,https://www.rad-ar.or.jp/siori/search/result?n=43414
L-ケフレックス小児用顆粒,https://www.rad-ar.or.jp/siori/search/result?n=43413
L-アスパラギン酸K点滴静注液10mEq「NIG」,https://www.rad-ar.or.jp/siori/search/result?n=49945
M・M配合散,https://www.rad-ar.or.jp/siori/search/result?n=18770
MS温シップ「タイホウ」,https://www.rad-ar.or.jp/siori/search/result?n=47502
MSコンチン錠10mg,https://www.rad-ar.or.jp/siori/search/result?n=18282
MSコンチン錠30mg,https://www.rad-ar.or.jp/siori/search/result?n=18283
MSコンチン錠60mg,https://www.rad-ar.or.jp/siori/search/result?n=18284
MS冷シップ「タイホウ」,https://www.rad-ar.or.jp/siori/search/result?n=47503
d-クロルフェニラミンマレイン酸塩錠2mg「NIG」,https://www.rad-ar.or.jp/siori/search/result?n=51055
dl-メチルエフェドリン塩酸塩散10％「メタル」,https://www.rad-ar.or.jp/siori/search/result?n=48517
d-クロルフェニラミンマレイン酸塩シロップ0.04%「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=37387
重質酸化マグネシウム「ケンエー」,https://www.rad-ar.or.jp/siori/search/result?n=10500
アーウィナーゼ筋注用10000,https://www.rad-ar.or.jp/siori/search/result?n=50996
アーチスト錠1.25mg,https://www.rad-ar.or.jp/siori/search/result?n=10988
アーチスト錠10mg,https://www.rad-ar.or.jp/siori/search/result?n=10990
アーチスト錠2.5mg,https://www.rad-ar.or.jp/siori/search/result?n=10989
アーチスト錠20mg,https://www.rad-ar.or.jp/siori/search/result?n=10991
アーテン散1％,https://www.rad-ar.or.jp/siori/search/result?n=98
アーテン錠（2mg）,https://www.rad-ar.or.jp/siori/search/result?n=106
アートセレブ脳脊髄手術用洗浄灌流液,https://www.rad-ar.or.jp/siori/search/result?n=38211
アービタックス注射液100mg,https://www.rad-ar.or.jp/siori/search/result?n=35463
アービタックス注射液500mg,https://www.rad-ar.or.jp/siori/search/result?n=51567
アーリーダ錠60mg,https://www.rad-ar.or.jp/siori/search/result?n=46757
アーリーダ錠60mg,https://www.rad-ar.or.jp/siori/search/result?n=46472
アイオピジンUD点眼液1%,https://www.rad-ar.or.jp/siori/search/result?n=43623
アイクルシグ錠15mg,https://www.rad-ar.or.jp/siori/search/result?n=42959
アイセントレス錠400mg,https://www.rad-ar.or.jp/siori/search/result?n=13722
アイセントレス錠600mg,https://www.rad-ar.or.jp/siori/search/result?n=45112
アイソボリン点滴静注用100mg,https://www.rad-ar.or.jp/siori/search/result?n=30144
アイソボリン点滴静注用25mg,https://www.rad-ar.or.jp/siori/search/result?n=30145
アイトロール錠10mg,https://www.rad-ar.or.jp/siori/search/result?n=36
アイトロール錠20mg,https://www.rad-ar.or.jp/siori/search/result?n=37
アイドロイチン1%点眼液,https://www.rad-ar.or.jp/siori/search/result?n=11248
アイドロイチン3%点眼液,https://www.rad-ar.or.jp/siori/search/result?n=11249
